DB Index,Country Code,Country Name
2,AGO,Angola
18,BDI,Burundi
20,BEN,Benin
21,BFA,Burkina Faso
37,BWA,Botswana
38,CAF,Central African Republic
43,CIV,Côte d'Ivoire
45,CMR,Cameroon
47,COD,"Congo, Democratic Republic of the"
48,COG,Congo
51,COM,Comoros
52,CPV,Cabo Verde
62,DJI,Djibouti
66,DZA,Algeria
68,EGY,Egypt
69,ERI,Eritrea
73,ETH,Ethiopia
80,GAB,Gabon
84,GHA,Ghana
86,GIN,Guinea
87,GMB,Gambia
88,GNB,Guinea-Bissau
89,GNQ,Equatorial Guinea
120,KEN,Kenya
130,LBR,Liberia
131,LBY,Libya
135,LSO,Lesotho
141,MAR,Morocco
144,MDG,Madagascar
149,MLI,Mali
155,MOZ,Mozambique
156,MRT,Mauritania
158,MUS,Mauritius
159,MWI,Malawi
161,NAM,Namibia
163,NER,Niger
165,NGA,Nigeria
192,RWA,Rwanda
196,SDN,Sudan
198,SEN,Senegal
204,SLE,Sierra Leone
208,SOM,Somalia
197,SSD,South Sudan
211,STP,Sao Tome and Principe
216,SWZ,Eswatini
218,SYC,Seychelles
221,TCD,Chad
222,TGO,Togo
229,TUN,Tunisia
233,TZA,"Tanzania, United Republic of"
234,UGA,Uganda
252,ZAF,South Africa
253,ZMB,Zambia
254,ZWE,Zimbabwe
