DB Index,Country Code,Country Name
4,ALB,Albania
6,AND,Andorra
9,ARM,Armenia
16,AUT,Austria
17,AZE,Azerbaijan
19,BEL,Belgium
23,BGR,Bulgaria
26,BIH,Bosnia and Herzegovina
29,BLR,Belarus
40,CHE,Switzerland
59,CYP,Cyprus
60,CZE,Czechia
61,DEU,Germany
64,DNK,Denmark
71,ESP,Spain
72,EST,Estonia
74,FIN,Finland
77,FRA,France
81,GBR,United Kingdom of Great Britain and Northern Ireland
82,GEO,Georgia
90,GRC,Greece
99,HRV,Croatia
101,HUN,Hungary
107,IRL,Ireland
110,ISL,Iceland
112,ITA,Italy
119,KAZ,Kazakhstan
133,LIE,Liechtenstein
136,LTU,Lithuania
137,LUX,Luxembourg
138,LVA,Latvia
142,MCO,Monaco
143,MDA,"Moldova, Republic of"
148,MKD,North Macedonia
150,MLT,Malta
152,MNE,Montenegro
168,NLD,Netherlands
169,NOR,Norway
182,POL,Poland
185,PRT,Portugal
190,ROU,Romania
191,RUS,Russian Federation
206,SMR,San Marino
210,SRB,Serbia
213,SVK,Slovakia
214,SVN,Slovenia
215,SWE,Sweden
230,TUR,Turkey
235,UKR,Ukraine
241,VAT,Holy See
