DB Index,Mainland Polygon Index
2,1
3,0
5,14
7,9
8,7
9,1
10,1
11,162
13,6
14,0
15,87
17,5
22,21
25,41
30,9
31,1
33,42
35,1
39,353
41,162
42,69
43,1
46,2
47,1
49,1
50,7
51,2
52,2
53,3
55,38
57,0
58,1
59,3
61,20
64,14
65,2
67,14
68,7
69,2
71,22
72,7
74,41
75,25
76,12
77,20
78,5
79,10
80,2
81,39
83,2
88,12
89,1
90,73
91,0
92,127
95,1
96,3
98,2
99,24
100,3
102,260
104,34
105,2
106,0
107,6
108,11
110,3
112,28
116,101
119,5
120,1
122,5
123,29
124,1
125,52
127,3
134,4
136,1
139,0
144,2
145,76
146,50
147,9
150,0
151,38
154,2
155,3
156,4
158,0
159,2
160,14
162,7
165,2
166,3
168,8
169,95
172,15
173,3
174,1
175,14
176,2
177,4
178,8
179,85
180,7
181,50
183,3
184,9
185,16
187,1
188,30
191,159
194,10
196,1
201,11
202,0
203,39
204,1
205,2
209,1
211,0
215,40
218,14
220,7
223,19
224,2
225,2
226,1
227,2
228,0
229,3
230,5
231,2
232,7
233,6
235,3
236,10
238,164
239,1
240,2
242,4
243,27
244,1
245,0
246,24
247,19
248,0
250,1
251,8
252,2
