DB Index,Country Code,Country Name
0,ABW,Aruba
3,AIA,Anguilla
14,ATG,Antigua and Barbuda
25,BHS,Bahamas
28,BLM,Saint Barthélemy
30,BLZ,Belize
31,BMU,Bermuda
34,BRB,Barbados
39,CAN,Canada
53,CRI,Costa Rica
55,CUB,Cuba
56,CUW,Curaçao
57,CYM,Cayman Islands
63,DMA,Dominica
65,DOM,Dominican Republic
91,GRD,Grenada
92,GRL,Greenland
93,GTM,Guatemala
98,HND,Honduras
100,HTI,Haiti
113,JAM,Jamaica
124,KNA,Saint Kitts and Nevis
132,LCA,Saint Lucia
140,MAF,Saint Martin (French part)
146,MEX,Mexico
157,MSR,Montserrat
166,NIC,Nicaragua
175,PAN,Panama
183,PRI,Puerto Rico
205,SLV,El Salvador
209,SPM,Saint Pierre and Miquelon
217,SXM,Sint Maarten (Dutch part)
220,TCA,Turks and Caicos Islands
228,TTO,Trinidad and Tobago
238,USA,United States of America
242,VCT,Saint Vincent and the Grenadines
244,VGB,Virgin Islands (British)
245,VIR,Virgin Islands (U.S.)
